utterance,category,intent
"I'm not happy with the service, what do I have to do to submit a consumer complaint?",FEEDBACK,complaint
"do you mind asking Alexa how I could check my order, please?",ORDER,track_order
"ask alexa how to call customer supoort, please",CONTACT,contact_customer_service
"I have an issue making a payment, how can I report it?",PAYMENT,payment_issue
can u ask alexa where to see the cancellation penalty?,CANCELLATION_FEE,check_cancellation_fee
could i create a user account?,ACCOUNT,create_account
I need help reporting issues making a payment,PAYMENT,payment_issue
I get an error message when I attempt to pay with card,PAYMENT,payment_issue
"I have an issue when trying to make a payment with card, can you help me?",PAYMENT,payment_issue
"i dont have an online account, what do i have to do to open one?",ACCOUNT,create_account
"I didn't receive my invoice, view it",INVOICES,check_invoices
"I have an issue paying for my online order, what can I do?",PAYMENT,payment_issue
can I report problems paying?,PAYMENT,payment_issue
"i have a question, what do i have to do to call customer support?",CONTACT,contact_customer_service
"ive got no user account, help me open one",ACCOUNT,create_account
can you give me information about the email of the Client Service?,CONTACT,contact_customer_service
"I have a problem paying for my order, can you inform of it?",PAYMENT,payment_issue
"ask alexa how i could remove my account, please",ACCOUNT,delete_account
"I lost my account password, how can I retrieve it?",ACCOUNT,recover_password
can you obtain a bill?,INVOICES,get_invoice
tell me if I can create more than one user account with the same email address,ACCOUNT,create_account
i wanna know if i could have more than one user account,ACCOUNT,create_account
"I have an issue paying for my online order, what can I do to inform of it?",PAYMENT,payment_issue
"I am discontent with the service, how could I file a fucking complaint?",FEEDBACK,complaint
"i have a problem when trying to make a payment with card, can i notify it?",PAYMENT,payment_issue
where can I see your refund policy?,REFUNDS,check_refund_policy
i want to ask for information about geting a bill,INVOICES,get_invoice
help me open a user account,ACCOUNT,create_account
"I am not happy with the service, could I file a consumer complaint?",FEEDBACK,complaint
"I haven't got a profile, how can I create one?",ACCOUNT,create_account
I want to know if I can check my package,ORDER,track_order
can you show me the email of Customer Service?,CONTACT,contact_customer_service
is it possible to track my orders?,ORDER,track_order
"I got an error when I attempted to make a payment, but my card was charged anyway, what can I do to report it?",PAYMENT,payment_issue
i want to know how I can know where my shipments are,ORDER,track_order
can I solve problems making a payment?,PAYMENT,payment_issue
"i got an error message whe i tried to make a payment, but i was charged anyway, can u report it?",PAYMENT,payment_issue
"i have an issue when trying to make a payment, what do i have to do to notify it?",PAYMENT,payment_issue
"I want to inform of a problem paying, what can I do?",PAYMENT,payment_issue
how do I talk to a person?,CONTACT,contact_human_agent
"I changed my mind, can you delete my usef account?",ACCOUNT,delete_account
"i got an error when i attempted to pay, but my card was charged anyway, how can i notify it?",PAYMENT,payment_issue
help me check my deliveties,ORDER,track_order
"I lost my invoices, can you show them?",INVOICES,check_invoices
can i register several fucking online accounts with a single email ?,ACCOUNT,create_account
"please, can you ask Alexa where I could notify problems making a payment?",PAYMENT,payment_issue
"I want to obtain some invoices, tell me how to do it",INVOICES,get_invoice
"I changed my mind, how do I cancel my account?",ACCOUNT,delete_account
"an error pops when I try to pay, can you help me?",PAYMENT,payment_issue
help me solve issues with my payment,PAYMENT,payment_issue
I want to report a problem paying,PAYMENT,payment_issue
tell me if I can have several accounts,ACCOUNT,create_account
im discontent with the service and i want to file a consumer complaint,FEEDBACK,complaint
can you give me information about the email of the Customer Support?,CONTACT,contact_customer_service
can you give me information about the delivery period?,DELIVERY,delivery_period
"I want to submit a complaint, what do I have to do?",FEEDBACK,complaint
"can u ask alexa how to talk to a human, please?",CONTACT,contact_human_agent
can you give me information about the status of my refund?,REFUNDS,track_refund
"i wanna obtain a reimbursement, what should i do?",REFUNDS,get_refund
can u ask alexa where to request an invoice?,INVOICES,get_invoice
help me report payment issues,PAYMENT,payment_issue
"could you ask alexa how I could subscribe to the fucking newsletter, please?",NEWSLETTER,newsletter_subscription
"I have an issue paying, what do I have to do?",PAYMENT,payment_issue
"I want to check your refund policy, what can I do?",REFUNDS,check_refund_policy
"I purchased an item, help me change my order",ORDER,change_order
"I can't understand you, how do I contact a human?",CONTACT,contact_human_agent
"can you ask Alexa how to notify problems paying, please?",PAYMENT,payment_issue
"I want to solve an issue making a payment, what should I do?",PAYMENT,payment_issue
I want to know if I can register more than one profile with a single email address,ACCOUNT,create_account
"I haven't got an account, can you create one?",ACCOUNT,create_account
"I bought something, whta can I do to change my order?",ORDER,change_order
ca you ask Alexa to solve a fucking payment problem ?,PAYMENT,payment_issue
"I have a problem when trying to pay for my order, report it",PAYMENT,payment_issue
"please, could you ask Alexa to retrieved my password?",ACCOUNT,recover_password
can u show me the phone number to contact customer support?,CONTACT,contact_customer_service
"the show was postponed, what do I have to do to obtain a reimbursement?",REFUNDS,get_refund
ask alexa if i can see the fucking status of my refund,REFUNDS,track_refund
"I have a question, I need help calling Customer Service",CONTACT,contact_customer_service
how fast can I expect my ticket to arrive?,DELIVERY,delivery_period
"I have no online account, what do I have to do to register?",ACCOUNT,create_account
"I can't understand you, contact a human, please",CONTACT,contact_human_agent
"I get an error when I attempt to make a payment for my online order, can you help me?",PAYMENT,payment_issue
"I didn't receive my bill, what should I do to check it?",INVOICES,check_invoices
how to view the options for ticket delivery,DELIVERY,delivery_options
"I have a question, I need help contacting Customer Support",CONTACT,contact_customer_service
tell me if i can change my order,ORDER,change_order
ask alexa what the email address to contact Client Service is,CONTACT,contact_customer_service
I have no user account and I want to open one,ACCOUNT,create_account
